transaction_id,account_id,customer_id,counterparty_bank,transaction_date,transaction_type,amount,currency,status
ACH02000001,ACC000141,CUS000095,BCP,2026-08-25T21:58:03,TRANSFER,8261.97,PEN,SUCCESS
ACH02000002,ACC000969,CUS000656,BCP,2026-08-25T11:23:02,TRANSFER,5330.79,USD,SUCCESS
ACH02000003,ACC000086,CUS000056,Scotiabank,2026-08-25T15:59:48,DEBIT,13451.14,USD,SUCCESS
ACH02000004,ACC000516,CUS000351,BBVA,2026-08-25T01:28:39,DEBIT,3677.25,USD,SUCCESS
ACH02000005,ACC001166,CUS000788,BanBif,2026-08-25T15:46:38,CREDIT,6302.77,PEN,SUCCESS
ACH02000006,ACC000919,CUS000622,Interbank,2026-08-25T17:14:46,TRANSFER,9598.7,PEN,PENDING
ACH02000007,ACC000065,CUS000042,BBVA,2026-08-25T05:06:47,TRANSFER,5592.0,PEN,SUCCESS
ACH02000008,ACC001403,CUS000944,Interbank,2026-08-25T04:49:28,DEBIT,7059.49,USD,SUCCESS
ACH02000009,ACC000643,CUS000440,BBVA,2026-08-25T13:01:18,DEBIT,1884.31,PEN,SUCCESS
ACH02000010,ACC001230,CUS000829,BanBif,2026-08-25T21:49:30,CREDIT,7930.04,PEN,SUCCESS
ACH02000011,ACC000628,CUS000431,Interbank,2026-08-25T01:38:38,CREDIT,3632.33,USD,SUCCESS
ACH02000012,ACC001112,CUS000753,BBVA,2026-08-25T20:46:50,DEBIT,14717.27,PEN,SUCCESS
ACH02000013,ACC000085,CUS000056,Scotiabank,2026-08-25T12:51:44,CREDIT,12688.96,USD,SUCCESS
ACH02000014,ACC001190,CUS000803,BanBif,2026-08-25T02:14:26,CREDIT,626.36,USD,SUCCESS
ACH02000015,ACC000131,CUS000087,Scotiabank,2026-08-25T11:55:53,DEBIT,4754.24,USD,PENDING
ACH02000016,ACC000575,CUS000393,Scotiabank,2026-08-25T12:50:25,CREDIT,13172.99,PEN,SUCCESS
ACH02000017,ACC000361,CUS000242,BanBif,2026-08-25T06:10:47,TRANSFER,13192.28,USD,SUCCESS
ACH02000018,ACC001476,CUS000992,BBVA,2026-08-25T15:41:26,DEBIT,8711.07,PEN,SUCCESS
ACH02000019,ACC001077,CUS000729,Interbank,2026-08-25T00:58:09,DEBIT,2262.59,PEN,SUCCESS
ACH02000020,ACC000242,CUS000166,Scotiabank,2026-08-25T08:54:02,TRANSFER,11172.16,USD,SUCCESS
ACH02000021,ACC001316,CUS000887,BBVA,2026-08-25T13:28:54,DEBIT,980.26,PEN,SUCCESS
ACH02000022,ACC001140,CUS000770,BCP,2026-08-25T04:22:58,TRANSFER,1035.12,USD,SUCCESS
ACH02000023,ACC000557,CUS000380,BanBif,2026-08-25T14:42:31,TRANSFER,12327.48,PEN,SUCCESS
ACH02000024,ACC000120,CUS000080,Scotiabank,2026-08-25T22:37:45,CREDIT,10090.52,USD,SUCCESS
ACH02000025,ACC001319,CUS000890,Scotiabank,2026-08-25T10:40:12,CREDIT,7386.21,USD,SUCCESS
ACH02000026,ACC000440,CUS000296,Scotiabank,2026-08-25T03:56:15,CREDIT,12283.8,USD,SUCCESS
ACH02000027,ACC001170,CUS000790,BCP,2026-08-25T05:41:33,TRANSFER,6122.64,USD,SUCCESS
ACH02000028,ACC000402,CUS000271,Interbank,2026-08-25T03:20:11,CREDIT,3954.8,PEN,SUCCESS
ACH02000029,ACC000861,CUS000585,Interbank,2026-08-25T00:41:43,TRANSFER,5320.95,PEN,SUCCESS
ACH02000030,ACC000298,CUS000201,BBVA,2026-08-25T23:10:25,TRANSFER,5251.97,USD,PENDING
ACH02000031,ACC000989,CUS000672,BCP,2026-08-25T13:48:04,CREDIT,8906.26,USD,SUCCESS
ACH02000032,ACC000749,CUS000511,BCP,2026-08-25T05:11:35,DEBIT,9507.87,USD,SUCCESS
ACH02000033,ACC001389,CUS000936,BBVA,2026-08-25T05:31:05,DEBIT,9184.97,PEN,SUCCESS
ACH02000034,ACC000502,CUS000343,Scotiabank,2026-08-25T16:10:45,DEBIT,9368.61,USD,SUCCESS
ACH02000035,ACC000338,CUS000227,BCP,2026-08-25T10:06:09,CREDIT,10271.42,PEN,SUCCESS
ACH02000036,ACC000572,CUS000392,BBVA,2026-08-25T14:29:39,CREDIT,7283.96,PEN,REJECTED
ACH02000037,ACC001331,CUS000899,BCP,2026-08-25T08:13:04,DEBIT,691.0,PEN,SUCCESS
ACH02000038,ACC000864,CUS000586,Scotiabank,2026-08-25T16:51:45,CREDIT,14170.24,PEN,SUCCESS
ACH02000039,ACC000698,CUS000478,BanBif,2026-08-25T19:23:05,TRANSFER,5322.58,PEN,SUCCESS
ACH02000040,ACC001323,CUS000892,Interbank,2026-08-25T09:46:39,DEBIT,10864.26,USD,SUCCESS
ACH02000041,ACC000707,CUS000485,Interbank,2026-08-25T02:11:25,TRANSFER,10715.52,USD,FAILED
ACH02000042,ACC000849,CUS000576,BBVA,2026-08-25T14:07:38,DEBIT,2734.64,PEN,SUCCESS
ACH02000043,ACC001108,CUS000749,Interbank,2026-08-25T17:34:04,TRANSFER,1497.6,USD,SUCCESS
ACH02000044,ACC001143,CUS000772,Scotiabank,2026-08-25T01:20:35,CREDIT,2465.3,PEN,SUCCESS
ACH02000045,ACC000529,CUS000359,BanBif,2026-08-25T23:53:18,DEBIT,4728.8,USD,PENDING
ACH02000046,ACC000900,CUS000609,BBVA,2026-08-25T11:20:41,CREDIT,8035.67,USD,SUCCESS
ACH02000047,ACC000586,CUS000400,Interbank,2026-08-25T14:13:19,DEBIT,1057.13,PEN,SUCCESS
ACH02000048,ACC001022,CUS000692,Interbank,2026-08-25T02:26:49,TRANSFER,10187.67,USD,PENDING
ACH02000049,ACC000586,CUS000400,Scotiabank,2026-08-25T06:05:05,CREDIT,2571.08,PEN,SUCCESS
ACH02000050,ACC001480,CUS000995,Interbank,2026-08-25T01:18:02,DEBIT,2566.07,PEN,REJECTED
ACH02000051,ACC000254,CUS000172,Scotiabank,2026-08-25T06:02:59,DEBIT,13140.07,PEN,SUCCESS
ACH02000052,ACC000092,CUS000060,BBVA,2026-08-25T08:08:00,TRANSFER,14792.85,PEN,SUCCESS
ACH02000034,ACC000661,CUS000453,BCP,2026-08-25T17:42:34,CREDIT,2540.74,PEN,SUCCESS
ACH02000054,ACC000960,CUS000649,BanBif,2026-08-25T20:07:22,TRANSFER,7436.67,PEN,SUCCESS
ACH02000055,ACC000231,CUS000158,Interbank,2026-08-25T15:23:15,TRANSFER,8920.22,USD,SUCCESS
ACH02000056,ACC000983,CUS000668,BCP,2026-08-25T22:55:32,TRANSFER,5172.18,PEN,SUCCESS
ACH02000057,ACC000477,CUS000323,BBVA,2026-08-25T14:59:47,CREDIT,1660.43,USD,SUCCESS
ACH02000058,ACC000848,CUS000576,BanBif,2026-08-25T06:35:26,CREDIT,3494.4,USD,SUCCESS
ACH02000059,ACC001200,CUS000809,BBVA,2026-08-25T13:49:55,DEBIT,68.33,PEN,SUCCESS
ACH02000060,ACC000453,CUS000304,Scotiabank,2026-08-25T22:22:30,DEBIT,6798.37,PEN,SUCCESS
ACH02000061,ACC000638,CUS000437,Interbank,2026-08-25T14:03:42,DEBIT,1896.57,USD,SUCCESS
ACH02000062,ACC000665,CUS000456,Scotiabank,2026-08-25T06:10:30,DEBIT,4325.86,PEN,SUCCESS
ACH02000063,ACC000166,CUS000111,BanBif,2026-08-25T12:41:16,DEBIT,4924.13,PEN,FAILED
ACH02000064,ACC000420,CUS000283,Interbank,2026-08-25T04:05:46,DEBIT,5368.87,USD,SUCCESS
ACH02000065,ACC001149,CUS000776,BCP,2026-08-25T01:48:35,TRANSFER,8990.7,USD,FAILED
ACH02000066,ACC000757,CUS000516,BBVA,2026-08-25T01:46:40,TRANSFER,5067.84,PEN,SUCCESS
ACH02000067,ACC001372,CUS000923,BCP,2026-08-25T07:42:13,TRANSFER,11805.82,PEN,SUCCESS
ACH02000068,ACC000699,CUS000479,BanBif,2026-08-25T21:39:28,CREDIT,6846.51,USD,FAILED
ACH02000069,ACC000665,CUS000456,Scotiabank,2026-08-25T08:22:13,TRANSFER,12175.86,PEN,SUCCESS
ACH02000070,ACC000445,CUS000299,Interbank,2026-08-25T19:21:05,TRANSFER,14907.43,PEN,SUCCESS
ACH02000071,ACC000530,CUS000360,Scotiabank,2026-08-25T06:04:14,CREDIT,10741.43,USD,SUCCESS
ACH02000072,ACC000392,CUS000265,Scotiabank,2026-08-25T20:44:55,DEBIT,3378.98,PEN,SUCCESS
ACH02000073,ACC000631,CUS000433,Scotiabank,2026-08-25T09:26:53,CREDIT,8457.14,USD,FAILED
ACH02000074,ACC000988,CUS000671,Interbank,2026-08-25T18:04:14,TRANSFER,5466.02,USD,SUCCESS
ACH02000075,ACC000298,CUS000201,Scotiabank,2026-08-25T12:46:08,TRANSFER,12591.34,USD,SUCCESS
ACH02000076,ACC000063,CUS000041,BCP,2026-08-25T01:27:43,DEBIT,4578.5,USD,SUCCESS
ACH02000077,ACC000943,CUS994106,Interbank,2026-08-25T15:35:13,DEBIT,3813.25,USD,SUCCESS
ACH02000078,ACC000847,CUS000575,BanBif,2026-08-25T10:36:20,CREDIT,6781.99,PEN,SUCCESS
ACH02000079,ACC001107,CUS000748,Scotiabank,2026-08-25T11:22:25,DEBIT,5197.04,USD,SUCCESS
ACH02000080,ACC000599,CUS000410,Interbank,2026-08-25T10:28:23,CREDIT,2322.56,PEN,SUCCESS
ACH02000081,ACC000965,CUS000653,Interbank,2026-08-25T02:23:00,DEBIT,4302.63,PEN,SUCCESS
ACH02000082,ACC000433,CUS000291,BBVA,2026-08-25T01:53:15,TRANSFER,809.79,PEN,SUCCESS
ACH02000083,ACC001464,CUS000985,BanBif,2026-08-25T13:35:22,CREDIT,1095.77,PEN,SUCCESS
ACH02000084,ACC000080,CUS000053,BCP,2026-08-25T06:28:11,CREDIT,8010.15,USD,SUCCESS
ACH02000085,ACC000306,CUS000207,BCP,2026-08-25T18:01:16,TRANSFER,7508.24,PEN,SUCCESS
ACH02000086,ACC000906,CUS000614,Scotiabank,2026-08-25T06:12:04,DEBIT,11301.15,PEN,SUCCESS
ACH02000087,ACC000989,CUS000672,Scotiabank,2026-08-25T01:28:05,DEBIT,14160.04,USD,SUCCESS
ACH02000088,ACC000507,CUS000346,Scotiabank,2026-08-25T23:17:15,TRANSFER,13605.99,USD,REJECTED
ACH02000089,ACC001299,CUS000877,Interbank,2026-08-25T17:48:58,TRANSFER,9021.82,PEN,SUCCESS
ACH02000090,ACC000807,CUS000546,Interbank,2026-08-25T05:30:56,TRANSFER,4499.45,PEN,SUCCESS
ACH02000091,ACC000626,CUS000429,BCP,2026-08-25T22:50:54,TRANSFER,6468.65,PEN,SUCCESS
ACH02000092,ACC000081,CUS000053,Interbank,2026-08-25T22:54:09,DEBIT,3992.46,USD,SUCCESS
ACH02000093,ACC000172,CUS000116,Scotiabank,2026-08-25T14:55:05,DEBIT,8393.32,USD,FAILED
ACH02000094,ACC000818,CUS000553,BCP,2026-08-25T01:49:49,DEBIT,6489.18,PEN,SUCCESS
ACH02000095,ACC000195,CUS000134,BanBif,2026-08-25T15:38:00,DEBIT,2510.25,PEN,SUCCESS
ACH02000096,ACC000007,CUS000004,BBVA,2026-08-25T18:17:37,DEBIT,10139.7,PEN,SUCCESS
ACH02000097,ACC001185,CUS000800,BCP,2026-08-25T10:12:45,CREDIT,2978.21,USD,FAILED
ACH02000098,ACC001104,CUS000746,BanBif,2026-08-25T19:15:21,DEBIT,12211.7,USD,SUCCESS
ACH02000099,ACC000119,CUS000079,BCP,2026-08-25T18:46:27,CREDIT,-7670.54,PEN,SUCCESS
ACH02000100,ACC001337,CUS000903,BCP,2026-08-25T08:26:07,TRANSFER,11532.74,USD,FAILED
ACH02000101,ACC000428,CUS000287,Scotiabank,2026-08-25T16:19:18,TRANSFER,10810.71,PEN,PENDING
ACH02000102,ACC000010,CUS000005,BCP,2026-08-25T07:23:46,TRANSFER,10416.03,PEN,SUCCESS
ACH02000103,ACC001004,CUS000681,BBVA,2026-08-25T04:59:10,CREDIT,3836.57,USD,SUCCESS
ACH02000104,ACC000782,CUS000532,BBVA,2026-08-25T09:55:52,DEBIT,3691.72,USD,SUCCESS
ACH02000105,ACC001037,CUS000702,BBVA,2026-08-25T18:35:06,DEBIT,10269.08,USD,SUCCESS
ACH02000106,ACC001068,CUS000722,BCP,2026-08-25T03:31:31,CREDIT,3451.18,USD,SUCCESS
ACH02000107,ACC000497,CUS000339,Scotiabank,2026-08-25T08:42:15,DEBIT,4149.34,PEN,SUCCESS
ACH02000108,ACC001203,CUS000811,BanBif,2026-08-25T19:55:03,TRANSFER,5361.85,USD,SUCCESS
ACH02000109,ACC000432,CUS000290,BBVA,2026-08-25T03:56:40,CREDIT,4696.52,USD,SUCCESS
ACH02000110,ACC000349,CUS000235,BCP,2026-08-25T04:51:28,CREDIT,8773.33,USD,SUCCESS
ACH02000111,ACC000310,CUS000209,Scotiabank,2026-08-25T11:31:50,CREDIT,5162.29,USD,SUCCESS
ACH02000112,ACC001375,CUS000925,Scotiabank,2026-08-25T02:28:59,TRANSFER,9464.63,PEN,SUCCESS
ACH02000113,ACC001334,CUS000901,Interbank,2026-08-25T20:21:57,CREDIT,4612.11,PEN,SUCCESS
ACH02000114,ACC000501,CUS000342,Scotiabank,2026-08-25T14:33:00,TRANSFER,14792.54,USD,SUCCESS
ACH02000115,ACC000183,CUS000125,BBVA,2026-08-25T18:14:53,DEBIT,10372.83,PEN,FAILED
ACH02000116,ACC000656,CUS000449,BanBif,2026-08-25T09:00:05,TRANSFER,7669.07,USD,SUCCESS
ACH02000018,ACC001344,CUS000907,Interbank,2026-08-25T02:29:53,TRANSFER,7086.87,USD,FAILED
ACH02000118,ACC000448,CUS000301,Interbank,2026-08-25T00:33:54,TRANSFER,10410.74,USD,SUCCESS
ACH02000119,ACC000872,CUS000592,Scotiabank,2026-08-25T04:49:09,TRANSFER,13109.53,PEN,SUCCESS
ACH02000120,ACC000561,CUS000383,BCP,2026-08-25T09:07:12,DEBIT,12710.94,USD,SUCCESS
ACH02000121,ACC001064,CUS000719,BanBif,2026-08-25T15:45:06,DEBIT,8427.81,PEN,SUCCESS
ACH02000122,ACC001289,CUS000869,Scotiabank,2026-08-25T01:13:41,TRANSFER,10305.7,USD,SUCCESS
ACH02000123,ACC000023,CUS000015,BanBif,2026-08-25T14:53:29,CREDIT,9155.49,USD,SUCCESS
ACH02000124,ACC000201,CUS000137,BBVA,2026-08-25T03:40:39,DEBIT,8161.77,PEN,SUCCESS
ACH02000125,ACC000123,CUS000082,BanBif,2026-08-25T14:55:24,TRANSFER,12084.0,PEN,SUCCESS
ACH02000126,ACC000173,CUS000117,BanBif,2026-08-25T19:57:07,TRANSFER,14148.48,USD,SUCCESS
ACH02000127,ACC000441,CUS000296,Interbank,2026-08-25T20:31:32,DEBIT,3413.11,USD,FAILED
ACH02000128,ACC001021,CUS000692,Interbank,2026-08-25T00:37:13,CREDIT,8344.09,PEN,SUCCESS
ACH02000129,ACC001435,CUS000965,Interbank,2026-08-25T11:08:35,TRANSFER,7811.78,USD,SUCCESS
ACH02000130,ACC000058,CUS000039,BBVA,2026-08-25T09:29:13,DEBIT,12229.13,USD,SUCCESS
ACH02000131,ACC001298,CUS000876,BBVA,2026-08-25T16:27:55,CREDIT,5875.07,USD,SUCCESS
ACH02000132,ACC000250,CUS000170,Scotiabank,2026-08-25T10:06:55,CREDIT,2067.44,PEN,SUCCESS
ACH02000133,ACC000747,CUS000510,Interbank,2026-08-25T15:38:12,TRANSFER,6066.5,PEN,SUCCESS
ACH02000134,ACC001278,CUS000861,BBVA,2026-08-25T13:01:54,TRANSFER,2729.52,PEN,SUCCESS
ACH02000135,ACC001460,CUS000982,BBVA,2026-08-25T11:21:41,CREDIT,4946.5,PEN,SUCCESS
ACH02000136,ACC000117,CUS000077,Scotiabank,2026-08-25T02:51:25,DEBIT,2065.07,USD,PENDING
ACH02000137,ACC000197,CUS000135,BBVA,2026-08-25T08:39:11,DEBIT,8116.76,PEN,SUCCESS
ACH02000138,ACC000591,CUS000404,BCP,2026-08-25T04:32:55,TRANSFER,6387.27,PEN,SUCCESS
ACH02000139,ACC000638,CUS000437,Scotiabank,2026-08-25T03:24:51,DEBIT,13355.01,PEN,PENDING
ACH02000140,ACC000186,CUS000127,BCP,2026-08-25T16:57:53,CREDIT,11582.77,PEN,SUCCESS
ACH02000141,ACC000329,CUS000222,Scotiabank,2026-08-25T03:58:15,CREDIT,8236.76,PEN,SUCCESS
ACH02000142,ACC000721,CUS000493,Scotiabank,2026-08-25T19:25:17,DEBIT,6202.35,USD,SUCCESS
ACH02000143,ACC000805,CUS000545,BCP,2026-08-25T10:51:07,DEBIT,4643.84,PEN,SUCCESS
ACH02000144,ACC000019,CUS000012,BCP,2026-08-25T08:13:58,DEBIT,6419.7,PEN,SUCCESS
ACH02000145,ACC000142,CUS000096,BanBif,2026-08-25T01:28:49,TRANSFER,8975.44,PEN,SUCCESS
ACH02000146,ACC000644,CUS000441,BCP,2026-08-25T05:36:25,TRANSFER,2072.43,USD,SUCCESS
ACH02000147,ACC001172,CUS000791,BBVA,2026-08-25T18:40:14,CREDIT,62.33,PEN,SUCCESS
