transaction_id,account_id,customer_id,transaction_date,transaction_type,amount,currency,status
MOB01000001,ACC000954,CUS000644,2026-08-24T15:03:09,WITHDRAWAL,1214.61,PEN,SUCCESS
MOB01000002,ACC000565,CUS000385,2026-08-24T00:06:57,DEPOSIT,452.66,USD,SUCCESS
MOB01000003,ACC001058,CUS000716,2026-08-24T23:01:33,WITHDRAWAL,314.61,USD,REJECTED
MOB01000004,ACC001243,CUS000838,2026-08-24T08:55:30,PAYMENT,273.94,PEN,FAILED
MOB01000005,ACC000254,CUS000172,2026-08-24T05:39:39,DEPOSIT,2009.99,USD,SUCCESS
MOB01000006,ACC001170,CUS000790,2026-08-24T00:48:15,WITHDRAWAL,4583.92,USD,SUCCESS
MOB01000007,ACC000945,CUS000639,2026-08-24T23:41:21,TRANSFER,1420.63,PEN,SUCCESS
MOB01000008,ACC000502,CUS000343,2026-08-24T22:24:37,UNKNOWN,4290.0,PEN,SUCCESS
MOB01000009,ACC000930,CUS000628,2026-08-24T23:16:47,PAYMENT,4173.87,PEN,SUCCESS
MOB01000010,ACC000819,CUS000554,2026-08-24T21:43:21,DEPOSIT,4959.2,PEN,SUCCESS
MOB01000011,ACC000406,CUS000274,2026-08-24T13:33:05,PAYMENT,2410.08,PEN,SUCCESS
MOB01000012,ACC000979,CUS000665,2026-08-24T04:38:26,PAYMENT,4584.14,PEN,PENDING
MOB01000013,ACC000927,CUS000627,2026-08-24T01:48:54,WITHDRAWAL,4300.68,PEN,REJECTED
MOB01000014,ACC001101,CUS000744,2026-08-24T09:31:26,DEPOSIT,577.76,PEN,SUCCESS
MOB01000015,ACC000517,CUS000351,2026-08-24T15:21:03,PAYMENT,2548.15,USD,REJECTED
MOB01000016,ACC000963,CUS000652,2026-08-24T14:08:29,TRANSFER,1243.88,USD,SUCCESS
MOB01000017,ACC001109,CUS000750,2026-08-24T13:51:23,DEPOSIT,2468.1,PEN,SUCCESS
MOB01000018,ACC000908,CUS000615,2026-08-24T11:15:38,WITHDRAWAL,2413.21,USD,SUCCESS
MOB01000019,ACC000939,CUS000636,2026-08-24T18:32:01,WITHDRAWAL,4981.94,USD,SUCCESS
MOB01000020,ACC000452,CUS000304,2026-08-24T00:21:41,PAYMENT,2530.76,PEN,PENDING
MOB01000021,ACC000454,CUS000305,2026-08-24T16:25:01,TRANSFER,29.78,USD,SUCCESS
MOB01000022,ACC001034,CUS000701,2026-08-24T19:09:59,WITHDRAWAL,2909.96,PEN,SUCCESS
MOB01000023,ACC000567,CUS000387,2026-08-24T05:59:17,WITHDRAWAL,2965.49,PEN,SUCCESS
MOB01000024,ACC001070,CUS000724,2026-08-24T10:47:16,DEPOSIT,1926.99,PEN,SUCCESS
MOB01000025,ACC000623,CUS000427,2026-08-24T10:25:17,PAYMENT,4357.8,USD,SUCCESS
MOB01000026,ACC000261,CUS000176,2026-08-24T05:50:52,TRANSFER,508.09,PEN,SUCCESS
MOB01000027,ACC000881,CUS000596,2026-08-24T01:01:30,PAYMENT,3201.78,USD,SUCCESS
MOB01000028,ACC000355,CUS000239,2026-08-24T09:03:50,WITHDRAWAL,787.37,USD,REJECTED
MOB01000029,ACC001302,CUS000879,2026-08-24T17:27:46,TRANSFER,4625.48,USD,SUCCESS
MOB01000030,ACC001372,CUS000923,2026-08-24T14:52:47,PAYMENT,289.24,PEN,SUCCESS
MOB01000031,ACC000128,CUS000085,2026-08-24T20:31:44,WITHDRAWAL,46.69,PEN,SUCCESS
MOB01000032,ACC000722,CUS000494,2026-08-24T00:57:53,PAYMENT,3155.4,PEN,SUCCESS
MOB01000033,ACC001248,CUS000841,2026-08-24T01:44:14,DEPOSIT,2645.35,USD,SUCCESS
MOB01000034,ACC000116,CUS000076,2026-08-24T08:56:29,PAYMENT,888.66,PEN,SUCCESS
MOB01000035,ACC000671,CUS000460,2026-08-24T02:34:53,PAYMENT,1009.82,USD,SUCCESS
MOB01000036,ACC000354,CUS000238,2026-08-24T10:59:51,WITHDRAWAL,3596.13,PEN,SUCCESS
MOB01000037,ACC000363,CUS000244,2026-08-24T16:32:01,TRANSFER,3102.38,PEN,SUCCESS
MOB01000038,ACC001035,CUS000701,2026-08-24T14:57:40,PAYMENT,2945.8,PEN,FAILED
MOB01000039,ACC000110,CUS000070,2026-08-24T19:31:18,WITHDRAWAL,-3272.17,PEN,SUCCESS
MOB01000040,ACC000929,CUS000628,2026-08-24T11:50:49,DEPOSIT,1052.08,PEN,SUCCESS
MOB01000041,ACC000839,CUS000569,2026-08-24T08:59:36,TRANSFER,644.99,USD,SUCCESS
MOB01000042,ACC000268,CUS000182,2026-08-24T21:42:40,TRANSFER,39.78,USD,SUCCESS
MOB01000043,ACC000925,CUS000625,2026-08-24T13:48:30,DEPOSIT,2743.36,PEN,SUCCESS
MOB01000044,ACC000153,CUS000103,2026-08-24T06:28:18,DEPOSIT,3127.98,USD,SUCCESS
MOB01000045,ACC001120,CUS000758,2026-08-24T16:23:17,WITHDRAWAL,4081.46,USD,SUCCESS
MOB01000046,ACC001464,CUS000985,2026-08-24T00:16:22,DEPOSIT,4155.39,PEN,SUCCESS
MOB01000047,ACC000770,CUS000524,2026-08-24T13:51:33,DEPOSIT,4745.75,PEN,SUCCESS
MOB01000048,ACC000924,CUS000625,2026-08-24T08:54:38,TRANSFER,356.3,PEN,SUCCESS
MOB01000049,ACC000876,CUS000594,2026-08-24T06:45:49,DEPOSIT,168.32,USD,SUCCESS
MOB01000050,ACC000053,CUS000036,2026-08-24T18:28:45,DEPOSIT,2768.98,PEN,SUCCESS
MOB01000051,ACC000967,CUS000654,2026-08-24T09:36:34,DEPOSIT,2271.43,PEN,SUCCESS
MOB01000052,ACC000279,CUS000188,2026-08-24T16:05:31,PAYMENT,3517.68,PEN,SUCCESS
MOB01000053,ACC001309,CUS000883,2026-08-24T17:41:18,WITHDRAWAL,2738.44,USD,SUCCESS
MOB01000053,ACC001155,CUS000780,2026-08-24T18:43:04,DEPOSIT,2521.8,USD,SUCCESS
MOB01000044,ACC000385,CUS000259,2026-08-24T18:27:25,WITHDRAWAL,2410.29,PEN,SUCCESS
MOB01000056,ACC000592,CUS000404,2026-08-24T14:44:19,WITHDRAWAL,137.27,PEN,SUCCESS
MOB01000057,ACC001349,CUS000910,2026-08-24T08:40:49,PAYMENT,1516.68,USD,FAILED
MOB01000058,ACC000580,CUS000396,2026-08-24T23:44:49,DEPOSIT,3791.4,USD,SUCCESS
MOB01000059,ACC001484,CUS000998,2026-08-24T10:15:11,WITHDRAWAL,4687.95,USD,SUCCESS
MOB01000060,ACC001006,CUS000682,2026-08-24T20:11:19,WITHDRAWAL,4494.07,PEN,SUCCESS
MOB01000061,ACC000262,CUS000177,2026-08-24T14:54:09,DEPOSIT,2437.22,PEN,REJECTED
MOB01000062,ACC000027,CUS000018,2026-08-24T01:04:23,WITHDRAWAL,3522.54,PEN,SUCCESS
MOB01000063,ACC000819,CUS000554,2026-08-24T03:49:05,WITHDRAWAL,1795.49,PEN,SUCCESS
MOB01000064,ACC000990,CUS000672,2026-08-24T15:04:17,WITHDRAWAL,4755.94,PEN,SUCCESS
MOB01000065,ACC000221,CUS000150,2026-08-24T12:03:11,DEPOSIT,2315.56,PEN,REJECTED
MOB01000066,ACC000616,CUS000422,2026-08-24T04:37:46,TRANSFER,169.43,USD,SUCCESS
MOB01000067,ACC000421,CUS000283,2026-08-24T04:45:02,WITHDRAWAL,4030.25,PEN,REJECTED
MOB01000068,ACC000434,CUS000291,2026-08-24T10:28:26,DEPOSIT,1704.9,USD,SUCCESS
MOB01000069,ACC000636,CUS000436,2026-08-24T13:17:25,WITHDRAWAL,329.02,USD,SUCCESS
MOB01000070,ACC000875,CUS000593,2026-08-24T12:45:15,DEPOSIT,598.64,USD,SUCCESS
MOB01000071,ACC000549,CUS000895,2026-08-24T21:31:48,TRANSFER,4396.3,PEN,SUCCESS
MOB01000072,ACC000299,CUS000202,2026-08-24T13:38:04,TRANSFER,2546.06,PEN,SUCCESS
MOB01000073,ACC000899,CUS000609,2026-08-24T10:09:10,PAYMENT,3522.32,PEN,SUCCESS
MOB01000074,ACC001088,CUS000736,2026-08-24T09:15:08,WITHDRAWAL,942.54,USD,SUCCESS
MOB01000075,ACC000074,CUS000049,2026-08-24T09:46:32,PAYMENT,3364.83,PEN,SUCCESS
MOB01000076,ACC001462,CUS000984,2026-08-24T07:56:17,PAYMENT,441.46,USD,SUCCESS
MOB01000077,ACC000648,CUS000444,2026-08-24T06:46:21,TRANSFER,4158.61,USD,SUCCESS
MOB01000078,ACC001371,CUS000923,2026-08-24T01:42:20,PAYMENT,880.04,PEN,SUCCESS
MOB01000079,ACC000363,CUS000244,2026-08-24T05:57:53,DEPOSIT,3072.87,PEN,REJECTED
MOB01000080,ACC001266,CUS000853,2026-08-24T20:13:04,WITHDRAWAL,1483.54,USD,SUCCESS
MOB01000081,ACC001349,CUS000910,2026-08-24T00:31:05,WITHDRAWAL,3379.14,PEN,FAILED
MOB01000082,ACC000942,CUS000638,2026-08-24T09:27:18,WITHDRAWAL,364.75,USD,SUCCESS
MOB01000083,ACC000239,CUS000164,2026-08-24T04:49:46,TRANSFER,4911.27,PEN,SUCCESS
MOB01000084,ACC001346,CUS000908,2026-08-24T12:57:09,DEPOSIT,4901.99,USD,SUCCESS
MOB01000085,ACC000453,CUS000304,2026-08-24T19:24:18,TRANSFER,2344.03,PEN,SUCCESS
MOB01000086,ACC000271,CUS000184,2026-08-24T00:00:00,WITHDRAWAL,1330.87,USD,SUCCESS
MOB01000087,ACC000699,CUS000479,2026-08-24T02:43:00,DEPOSIT,4109.6,PEN,SUCCESS
MOB01000088,ACC000204,CUS000139,2026-08-24T22:01:32,PAYMENT,1114.66,USD,SUCCESS
MOB01000089,ACC000693,CUS000474,2026-08-24T23:00:44,PAYMENT,2566.9,USD,SUCCESS
MOB01000090,ACC000067,CUS000044,2026-08-24T03:36:34,WITHDRAWAL,3797.84,USD,SUCCESS
MOB01000091,ACC000278,CUS000188,2026-08-24T07:02:00,DEPOSIT,3797.82,USD,SUCCESS
MOB01000092,ACC000515,CUS000350,2026-08-24T13:52:56,DEPOSIT,2070.37,USD,SUCCESS
