transaction_id,atm_id,account_id,customer_id,transaction_date,transaction_type,amount,currency,status
ATM03000001,ATM0020,ACC000258,CUS000174,2026-08-26T20:39:55,DEPOSIT,429.25,USD,SUCCESS
ATM03000002,ATM0019,ACC000163,CUS000109,2026-08-26T13:24:27,WITHDRAWAL,83.04,PEN,FAILED
ATM03000003,ATM0046,ACC000211,CUS000143,2026-08-26T23:18:28,TRANSFER,1639.29,USD,SUCCESS
ATM03000004,ATM0001,ACC000980,CUS000665,2026-08-26T12:54:57,WITHDRAWAL,2263.53,USD,SUCCESS
ATM03000005,ATM0048,ACC000212,CUS000144,2026-08-26T08:44:00,DEPOSIT,2846.47,PEN,SUCCESS
ATM03000006,ATM0059,ACC001198,CUS000808,2026-08-26T07:07:20,WITHDRAWAL,1992.64,PEN,SUCCESS
ATM03000007,ATM0042,ACC001097,CUS000741,2026-08-26T11:25:15,TRANSFER,391.75,USD,SUCCESS
ATM03000008,ATM0029,ACC001224,CUS000825,2026-08-26T12:30:33,TRANSFER,790.58,PEN,SUCCESS
ATM03000009,ATM0015,ACC000682,CUS000467,2026-08-26T16:26:50,TRANSFER,1526.37,USD,SUCCESS
ATM03000010,ATM0047,ACC000905,CUS000613,2026-08-26T11:34:17,DEPOSIT,927.32,PEN,SUCCESS
ATM03000011,ATM0032,ACC000586,CUS000400,2026-08-26T10:07:05,DEPOSIT,1633.48,USD,PENDING
ATM03000012,ATM0010,ACC001131,CUS000765,2026-08-26T12:29:13,WITHDRAWAL,2754.31,USD,SUCCESS
ATM03000013,ATM0010,ACC001469,CUS000988,2026-08-26T14:11:19,WITHDRAWAL,2813.77,USD,SUCCESS
ATM03000014,ATM0037,ACC000803,CUS000544,2026-08-26T05:23:28,WITHDRAWAL,813.14,PEN,SUCCESS
ATM03000015,ATM0029,ACC001371,CUS000923,2026-08-26T22:41:24,WITHDRAWAL,364.12,USD,SUCCESS
ATM03000016,ATM0027,ACC000104,CUS000067,2026-08-26T14:00:36,WITHDRAWAL,2907.95,USD,SUCCESS
ATM03000017,ATM0049,ACC001034,CUS000701,2026-08-26T19:41:38,WITHDRAWAL,1627.4,USD,SUCCESS
ATM03000018,ATM0021,ACC000685,CUS000468,2026-08-26T06:12:30,WITHDRAWAL,2894.85,PEN,SUCCESS
ATM03000019,ATM0048,ACC000378,CUS000254,2026-08-26T20:59:36,DEPOSIT,2785.92,USD,SUCCESS
ATM03000020,ATM0055,ACC000879,CUS000595,2026-08-26T15:57:08,,322.64,USD,SUCCESS
ATM03000021,ATM0012,ACC001088,CUS000736,2026-08-26T15:35:17,WITHDRAWAL,274.73,USD,SUCCESS
ATM03000022,ATM0038,ACC001386,CUS000933,2026-08-26T01:45:30,WITHDRAWAL,2630.66,USD,SUCCESS
ATM03000023,ATM0016,ACC000030,CUS000020,2026-08-26T05:44:08,DEPOSIT,1033.9,PEN,SUCCESS
ATM03000024,ATM0025,ACC000853,CUS000579,2026-08-26T19:54:48,WITHDRAWAL,2405.14,PEN,SUCCESS
ATM03000025,ATM0047,ACC001063,CUS000719,2026-08-26T04:02:30,WITHDRAWAL,2720.17,PEN,SUCCESS
ATM03000026,ATM0005,ACC000124,CUS000083,2026-08-26T20:00:04,DEPOSIT,1972.19,USD,SUCCESS
ATM03000027,ATM0008,ACC001345,CUS000907,2026-08-26T03:22:55,WITHDRAWAL,388.64,USD,SUCCESS
ATM03000028,ATM0029,ACC001407,CUS000947,2026-08-26T10:36:46,DEPOSIT,1502.15,USD,SUCCESS
ATM03000029,ATM0024,ACC001037,CUS000702,2026-08-26T14:53:16,TRANSFER,1178.54,USD,SUCCESS
ATM03000030,ATM0020,ACC001398,CUS000941,2026-08-26T05:53:23,DEPOSIT,2462.79,PEN,FAILED
ATM03000031,ATM0026,ACC000419,CUS000282,2026-08-26T22:11:27,TRANSFER,1788.02,USD,SUCCESS
ATM03000032,ATM0002,ACC000813,CUS000549,2026-08-26T14:59:25,DEPOSIT,2082.11,USD,SUCCESS
ATM03000033,ATM0041,ACC000435,CUS000292,2026-08-26T01:39:57,DEPOSIT,2966.6,USD,SUCCESS
ATM03000034,ATM0007,ACC000049,CUS000033,2026-08-26T04:19:52,DEPOSIT,281.72,PEN,SUCCESS
ATM03000035,ATM0039,ACC000923,CUS000624,2026-08-26T07:52:20,DEPOSIT,2928.27,USD,SUCCESS
ATM03000036,ATM0015,ACC000271,CUS000184,2026-08-26T11:28:44,TRANSFER,2355.26,PEN,SUCCESS
ATM03000037,ATM0045,ACC001362,CUS000917,2026-08-26T01:09:11,DEPOSIT,2198.19,PEN,SUCCESS
ATM03000038,ATM0051,ACC000190,CUS000130,2026-08-26T09:28:45,WITHDRAWAL,2948.48,PEN,SUCCESS
ATM03000039,ATM0047,ACC000584,CUS000399,2026-08-26T22:59:02,DEPOSIT,1114.65,USD,SUCCESS
ATM03000040,ATM0007,ACC000998,CUS000677,2026-08-26T21:31:32,DEPOSIT,1774.46,USD,SUCCESS
ATM03000041,ATM0015,ACC000235,CUS000160,2026-08-26T20:31:04,WITHDRAWAL,2355.47,PEN,SUCCESS
ATM03000042,ATM0014,ACC000693,CUS000361,2026-08-26T22:15:17,DEPOSIT,2545.0,USD,SUCCESS
ATM03000043,ATM0027,ACC001186,CUS000801,2026-08-26T04:35:00,WITHDRAWAL,1290.38,USD,SUCCESS
ATM03000044,ATM0023,ACC001370,CUS000922,2026-08-26T06:57:47,DEPOSIT,191.93,USD,SUCCESS
ATM03000045,ATM0056,ACC000260,CUS000175,2026-08-26T22:12:42,DEPOSIT,1727.11,USD,SUCCESS
ATM03000046,ATM0021,ACC001043,CUS000705,2026-08-26T22:49:35,WITHDRAWAL,2753.57,PEN,SUCCESS
ATM03000047,ATM0004,ACC000777,CUS000529,2026-08-26T09:16:43,WITHDRAWAL,809.49,USD,SUCCESS
ATM03000048,ATM0059,ACC000602,CUS000412,2026-08-26T03:41:52,WITHDRAWAL,1291.4,PEN,SUCCESS
ATM03000049,ATM0056,ACC000726,CUS000496,2026-08-26T04:46:55,DEPOSIT,891.18,USD,SUCCESS
ATM03000050,ATM0011,ACC000902,CUS000611,2026-08-26T08:40:39,DEPOSIT,1714.9,USD,SUCCESS
ATM03000051,ATM0039,ACC000390,CUS000263,2026-08-26T18:15:38,TRANSFER,2230.04,USD,SUCCESS
ATM03000052,ATM0001,ACC001120,CUS000758,2026-08-26T23:29:28,DEPOSIT,2942.71,PEN,SUCCESS
ATM03000053,ATM0015,ACC000712,CUS000488,2026-08-26T21:59:07,WITHDRAWAL,285.59,USD,FAILED
ATM03000054,ATM0019,ACC000564,CUS000385,2026-08-26T11:42:46,TRANSFER,518.55,USD,SUCCESS
ATM03000055,ATM0054,ACC001461,CUS000983,2026-08-26T00:42:43,WITHDRAWAL,2507.44,PEN,SUCCESS
ATM03000056,ATM0021,ACC000538,CUS000365,2026-08-26T23:11:58,TRANSFER,2621.07,PEN,SUCCESS
ATM03000057,ATM0025,ACC001243,CUS000838,2026-08-26T12:09:04,TRANSFER,2154.67,USD,REJECTED
ATM03000058,ATM0039,ACC000129,CUS000086,2026-08-26T17:39:24,TRANSFER,655.24,PEN,PENDING
ATM03000059,ATM0057,ACC000175,CUS000119,2026-08-26T21:33:46,DEPOSIT,2444.18,PEN,SUCCESS
ATM03000060,ATM0006,ACC000995,CUS000675,2026-08-26T23:25:43,WITHDRAWAL,2651.56,USD,SUCCESS
ATM03000061,ATM0055,ACC000543,CUS000369,2026-08-26T17:35:06,WITHDRAWAL,2718.1,USD,SUCCESS
ATM03000062,ATM0028,ACC001102,CUS000744,2026-08-26T09:00:48,DEPOSIT,750.0,USD,SUCCESS
ATM03000063,ATM0018,ACC000039,CUS000025,2026-08-26T18:49:26,TRANSFER,1501.8,PEN,SUCCESS
ATM03000064,ATM0054,ACC000917,CUS000620,2026-08-26T09:02:56,TRANSFER,1214.26,USD,PENDING
ATM03000065,ATM0003,ACC001362,CUS000917,2026-08-26T00:01:38,DEPOSIT,268.79,USD,SUCCESS
ATM03000066,ATM0010,ACC001265,CUS000852,2026-08-26T23:51:19,WITHDRAWAL,606.79,PEN,SUCCESS
ATM03000067,ATM0017,ACC001011,CUS000685,2026-08-26T20:04:34,DEPOSIT,1642.81,USD,SUCCESS
ATM03000068,ATM0033,ACC001342,CUS000905,2026-08-26T09:03:04,DEPOSIT,747.35,USD,SUCCESS
ATM03000069,ATM0044,ACC001302,CUS000879,2026-08-26T09:34:13,DEPOSIT,2338.04,PEN,SUCCESS
ATM03000070,ATM0001,ACC001172,CUS000791,2026-08-26T16:24:09,TRANSFER,538.86,PEN,SUCCESS
ATM03000071,ATM0030,ACC000799,CUS000542,2026-08-26T16:03:47,TRANSFER,1197.23,PEN,SUCCESS
ATM03000072,ATM0013,ACC001304,CUS000880,2026-08-26T23:49:00,TRANSFER,2005.34,PEN,SUCCESS
ATM03000073,ATM0001,ACC000635,CUS000435,2026-08-26T19:06:41,DEPOSIT,1750.6,USD,SUCCESS
ATM03000074,ATM0028,ACC000698,CUS000478,2026-08-26T20:45:51,DEPOSIT,16.01,PEN,SUCCESS
ATM03000075,ATM0023,ACC000143,CUS000096,2026-08-26T06:39:58,TRANSFER,1023.72,PEN,SUCCESS
ATM03000076,ATM0014,ACC000208,CUS000142,2026-08-26T11:08:26,TRANSFER,1519.26,PEN,SUCCESS
ATM03000077,ATM0002,ACC001000,CUS000678,2026-08-26T08:23:06,TRANSFER,2993.59,USD,SUCCESS
ATM03000078,ATM0042,ACC000350,CUS000236,2026-08-26T04:11:44,WITHDRAWAL,1196.32,PEN,SUCCESS
ATM03000079,ATM0036,ACC000578,CUS000395,2026-08-26T11:30:02,TRANSFER,620.22,USD,SUCCESS
ATM03000080,ATM0033,ACC000093,CUS000060,2026-08-26T19:55:06,TRANSFER,2736.28,USD,SUCCESS
ATM03000081,ATM0046,ACC000795,CUS000539,2026-08-26T19:47:48,DEPOSIT,1432.27,PEN,SUCCESS
ATM03000082,ATM0037,ACC000075,CUS000050,2026-08-26T06:31:05,WITHDRAWAL,2473.02,PEN,SUCCESS
ATM03000083,ATM0012,ACC000879,CUS000595,2026-08-26T20:50:56,DEPOSIT,2323.4,USD,SUCCESS
ATM03000084,ATM0030,ACC001382,CUS000931,2026-08-26T19:09:27,WITHDRAWAL,2884.59,PEN,SUCCESS
ATM03000085,ATM0058,ACC000669,CUS000459,2026-08-26T23:47:02,DEPOSIT,2512.26,PEN,SUCCESS
ATM03000086,ATM0022,ACC000813,CUS000549,2026-08-26T18:38:04,DEPOSIT,1787.28,USD,REJECTED
ATM03000087,ATM0040,ACC000802,CUS000543,2026-08-26T21:18:05,TRANSFER,1924.18,USD,SUCCESS
ATM03000088,ATM0029,ACC000615,CUS000421,2026-08-26T20:42:28,WITHDRAWAL,2849.18,PEN,SUCCESS
ATM03000089,ATM0004,ACC001414,CUS000953,2026-08-26T14:08:53,WITHDRAWAL,1931.02,USD,SUCCESS
ATM03000090,ATM0019,ACC000644,CUS000441,2026-08-26T18:04:25,DEPOSIT,933.12,PEN,SUCCESS
ATM03000091,ATM0011,ACC001061,CUS000718,2026-08-26T14:09:57,TRANSFER,219.91,USD,SUCCESS
ATM03000092,ATM0049,ACC000148,CUS000099,2026-08-26T22:24:08,TRANSFER,989.32,PEN,SUCCESS
ATM03000093,ATM0049,ACC000824,CUS000557,2026-08-26T01:16:10,TRANSFER,1200.31,USD,SUCCESS
ATM03000094,ATM0045,ACC000667,CUS000457,2026-08-26T21:32:32,TRANSFER,2731.72,USD,SUCCESS
ATM03000095,ATM0017,ACC001283,CUS000865,2026-08-26T14:42:40,WITHDRAWAL,2015.21,USD,SUCCESS
ATM03000096,ATM0035,ACC000865,CUS000587,2026-08-26T15:48:31,DEPOSIT,1969.63,PEN,SUCCESS
ATM03000097,ATM0001,ACC000210,CUS000143,2026-08-26T23:20:38,TRANSFER,396.54,USD,PENDING
ATM03000098,ATM0029,ACC000339,CUS000228,2026-08-26T02:28:59,DEPOSIT,2953.83,PEN,SUCCESS
