transaction_id,account_id,customer_id,counterparty_bank,transaction_date,transaction_type,amount,currency,status
ACH01000033,ACC000305,CUS000206,BBVA,2026-08-24T16:00:07,DEBIT,8498.52,PEN,SUCCESS
ACH01000045,ACC001245,CUS000839,BanBif,2026-08-24T11:45:52,DEBIT,8337.78,PEN,SUCCESS
ACH01000045,ACC000289,CUS000195,BCP,2026-08-24T03:00:30,TRANSFER,4632.85,PEN,PENDING
ACH01000128,ACC001306,CUS000881,Scotiabank,2026-08-24T23:08:39,CREDIT,7124.14,PEN,SUCCESS
ACH01000033,ACC000079,CUS000052,Interbank,2026-08-24T19:20:35,TRANSFER,5512.96,PEN,SUCCESS
ACH01000176,ACC000991,CUS000673,Interbank,2026-08-24T08:39:47,TRANSFER,10979.77,PEN,SUCCESS
ACH01000192,ACC001350,CUS000910,Interbank,2026-08-24T00:46:00,TRANSFER,5465.04,USD,SUCCESS
ACH01000211,ACC001132,CUS000765,BBVA,2026-08-24T08:51:50,TRANSFER,2356.03,USD,SUCCESS
ACH01000235,ACC000032,CUS000021,BBVA,2026-08-24T19:57:03,CREDIT,,PEN,SUCCESS
ACH01000247,ACC000374,CUS000252,Interbank,2026-08-24T15:48:41,TRANSFER,-7627.19,USD,SUCCESS
ACH01000285,ACC000453,CUS000304,Scotiabank,2026-08-24T22:53:01,CREDIT,8448.17,USD,SUCCESS
ACH01000285,ACC000453,CUS000304,Scotiabank,2026-08-24T22:53:01,CREDIT,8448.17,USD,SUCCESS
ACH01000386,ACC001482,CUS000996,Interbank,2026-08-24T23:19:58,TRANSFER,-390.47,PEN,SUCCESS
ACH01000128,ACC001374,CUS000925,BanBif,2026-08-24T11:51:13,DEBIT,11352.72,USD,SUCCESS
ACH01000211,ACC001295,CUS000874,Scotiabank,2026-08-24T09:14:04,TRANSFER,10915.43,USD,SUCCESS
ACH01000440,ACC000036,CUS000023,Interbank,2026-08-24T02:19:34,CREDIT,14700.7,USD,SUCCESS
ACH01000446,ACC001396,CUS000940,Scotiabank,2026-08-24T02:08:23,TRANSFER,10348.68,PEN,SUCCESS
ACH01000542,ACC001478,CUS000993,Interbank,2026-08-24T07:50:26,,5445.15,PEN,SUCCESS
ACH01000624,ACC000222,CUS000151,Scotiabank,2026-08-24T14:14:23,DEBIT,5727.6,USD,SUCCESS
ACH01000632,ACC000775,CUS000527,Scotiabank,2026-08-24T07:22:19,CREDIT,373.65,USD,SUCCESS
ACH01000632,ACC000943,CUS000638,BBVA,2026-08-24T06:10:30,CREDIT,4166.54,USD,SUCCESS
ACH01000446,ACC001396,CUS000940,Scotiabank,2026-08-24T02:08:23,TRANSFER,10348.68,PEN,SUCCESS
ACH01000192,ACC001350,CUS000910,BanBif,2026-08-24T19:17:39,DEBIT,1874.66,PEN,SUCCESS
ACH01000176,ACC000991,CUS000673,Interbank,2026-08-24T08:39:47,TRANSFER,10979.77,PEN,SUCCESS
ACH01000900,ACC001384,CUS000932,BanBif,2026-08-24T17:07:24,CREDIT,-13332.66,PEN,SUCCESS
ACH01000906,ACC001370,CUS000922,BCP,2026-08-24T00:16:16,,10912.13,PEN,SUCCESS
ACH01000907,ACC000899,CUS000609,BanBif,2026-08-24T09:54:12,CREDIT,-5895.17,USD,SUCCESS
ACH01000440,ACC000036,CUS000023,Interbank,2026-08-24T02:19:34,CREDIT,14700.7,USD,SUCCESS
ACH01000953,,CUS000130,BCP,2026-08-24T20:26:35,DEBIT,8967.91,USD,SUCCESS
ACH01000965,ACC000757,CUS000516,BCP,2026-08-24T18:22:07,TRANSFER,-10820.66,PEN,SUCCESS
ACH01000624,ACC000222,CUS000151,Scotiabank,2026-08-24T14:14:23,DEBIT,5727.6,USD,SUCCESS
ACH01001090,ACC000131,CUS000087,BCP,2026-08-24T19:33:49,TRANSFER,10235.36,USD,SUCCESS
ACH01001090,ACC001472,CUS000990,BBVA,2026-08-24T16:43:29,CREDIT,3332.62,USD,SUCCESS
ACH01001183,,CUS000280,BCP,2026-08-24T18:20:58,CREDIT,4474.43,USD,SUCCESS
ACH02000018,ACC001476,CUS000992,BBVA,2026-08-25T15:41:26,DEBIT,8711.07,PEN,SUCCESS
ACH02000026,ACC000440,CUS000296,Scotiabank,2026-08-25T03:56:15,CREDIT,12283.8,USD,SUCCESS
ACH02000034,ACC000502,CUS000343,Scotiabank,2026-08-25T16:10:45,DEBIT,9368.61,USD,SUCCESS
ACH02000044,ACC001143,CUS000772,Scotiabank,2026-08-25T01:20:35,CREDIT,2465.3,PEN,SUCCESS
ACH02000034,ACC000661,CUS000453,BCP,2026-08-25T17:42:34,CREDIT,2540.74,PEN,SUCCESS
ACH02000079,ACC001107,CUS000748,Scotiabank,2026-08-25T11:22:25,DEBIT,5197.04,USD,SUCCESS
ACH02000099,ACC000119,CUS000079,BCP,2026-08-25T18:46:27,CREDIT,-7670.54,PEN,SUCCESS
ACH02000018,ACC001344,CUS000907,Interbank,2026-08-25T02:29:53,TRANSFER,7086.87,USD,FAILED
ACH02000150,ACC000805,CUS000545,BanBif,2026-08-25T11:27:57,TRANSFER,10609.23,PEN,REJECTED
ACH02000044,ACC001143,CUS000772,Scotiabank,2026-08-25T01:20:35,CREDIT,2465.3,PEN,SUCCESS
ACH02000026,ACC000440,CUS000296,Scotiabank,2026-08-25T03:56:15,CREDIT,12283.8,USD,SUCCESS
