transaction_id,account_id,customer_id,transaction_date,transaction_type,amount,currency,status
MOB01000039,ACC000110,CUS000070,2026-08-24T19:31:18,WITHDRAWAL,-3272.17,PEN,SUCCESS
MOB01000044,ACC000153,CUS000103,2026-08-24T06:28:18,DEPOSIT,3127.98,USD,SUCCESS
MOB01000053,ACC001309,CUS000883,2026-08-24T17:41:18,WITHDRAWAL,2738.44,USD,SUCCESS
MOB01000053,ACC001155,CUS000780,2026-08-24T18:43:04,DEPOSIT,2521.8,USD,SUCCESS
MOB01000044,ACC000385,CUS000259,2026-08-24T18:27:25,WITHDRAWAL,2410.29,PEN,SUCCESS
MOB01000060,ACC001006,CUS000682,2026-08-24T20:11:19,WITHDRAWAL,4494.07,PEN,SUCCESS
MOB01000084,ACC001346,CUS000908,2026-08-24T12:57:09,DEPOSIT,4901.99,USD,SUCCESS
MOB01000120,ACC000288,CUS000195,2026-08-24T08:56:39,DEPOSIT,3309.14,USD,SUCCESS
MOB01000181,ACC000893,CUS000604,2026-08-24T11:56:37,DEPOSIT,1706.21,USD,SUCCESS
MOB01000120,ACC001375,CUS000925,2026-08-24T21:55:30,TRANSFER,812.18,USD,SUCCESS
MOB01000218,ACC000026,CUS000018,2026-08-24T09:31:06,WITHDRAWAL,-2720.76,PEN,SUCCESS
MOB01000228,ACC000146,CUS000098,2026-08-24T19:52:20,PAYMENT,513.86,USD,SUCCESS
MOB01000231,ACC001179,CUS000796,2026-08-24T09:01:07,DEPOSIT,2634.43,PEN,SUCCESS
MOB01000253,ACC000181,CUS000124,2026-08-24T03:57:28,TRANSFER,4019.47,USD,SUCCESS
MOB01000254,ACC000408,CUS000276,2026-08-24T02:35:58,WITHDRAWAL,2322.07,USD,SUCCESS
MOB01000265,ACC000930,CUS000628,2026-08-24T09:22:13,PAYMENT,908.5,PEN,SUCCESS
MOB01000254,ACC000396,CUS000267,2026-08-24T10:32:37,TRANSFER,4775.02,PEN,SUCCESS
MOB01000275,ACC000483,CUS000328,2026-08-24T21:13:19,DEPOSIT,-2151.45,PEN,SUCCESS
MOB01000302,ACC000966,CUS000654,2026-08-24T00:03:43,WITHDRAWAL,701.27,USD,SUCCESS
MOB01000228,ACC001317,CUS000888,2026-08-24T13:14:42,DEPOSIT,2128.04,PEN,SUCCESS
MOB01000397,ACC000985,CUS000670,2026-08-24T08:16:10,WITHDRAWAL,-2908.01,PEN,SUCCESS
MOB01000409,ACC000634,CUS000435,2026-08-24T22:31:10,PAYMENT,3478.0,USD,SUCCESS
MOB01000409,ACC000918,CUS000621,2026-08-24T23:25:06,PAYMENT,3087.02,PEN,SUCCESS
MOB01000181,ACC001321,CUS000891,2026-08-24T16:05:23,WITHDRAWAL,3258.52,PEN,SUCCESS
MOB01000474,ACC000668,CUS000458,2026-08-24T10:52:19,DEPOSIT,3882.43,PEN,SUCCESS
MOB01000474,ACC000668,CUS000458,2026-08-24T10:52:19,DEPOSIT,3882.43,PEN,SUCCESS
MOB01000494,ACC000743,CUS000507,2026-08-24T11:01:11,WITHDRAWAL,1051.24,USD,SUCCESS
