transaction_id,atm_id,account_id,customer_id,transaction_date,transaction_type,amount,currency,status
ATM01000019,ATM0048,ACC000542,CUS000368,2026-08-24T03:40:09,DEPOSIT,1042.97,USD,SUCCESS
ATM01000020,ATM0057,ACC000208,CUS000142,2026-08-24T03:53:41,WITHDRAWAL,287.77,USD,SUCCESS
ATM01000019,ATM0048,ACC000542,CUS000368,2026-08-24T03:40:09,DEPOSIT,1042.97,USD,SUCCESS
ATM01000020,ATM0057,ACC000208,CUS000142,2026-08-24T03:53:41,WITHDRAWAL,287.77,USD,SUCCESS
ATM01000036,ATM0004,ACC001279,CUS000862,2026-08-24T21:08:40,DEPOSIT,2176.08,PEN,SUCCESS
ATM01000042,ATM0019,ACC001095,CUS000740,2026-08-24T15:41:00,TRANSFER,729.83,USD,SUCCESS
ATM01000047,ATM0005,ACC001427,CUS000960,2026-08-24T10:20:07,WITHDRAWAL,273.3,USD,SUCCESS
ATM01000053,ATM0054,ACC000646,CUS000442,2026-08-24T02:34:26,TRANSFER,2453.17,USD,SUCCESS
ATM01000072,ATM0012,ACC000417,CUS000281,2026-08-24T06:22:52,WITHDRAWAL,2138.77,USD,SUCCESS
ATM01000081,ATM0022,ACC000090,CUS000058,2026-08-24T05:57:26,TRANSFER,-2347.83,PEN,SUCCESS
ATM01000105,ATM0035,ACC000581,CUS000397,2026-08-24T03:47:51,TRANSFER,1587.5,PEN,SUCCESS
ATM01000072,ATM0007,ACC000325,CUS000219,2026-08-24T23:43:00,TRANSFER,1143.27,PEN,SUCCESS
ATM01000105,ATM0051,ACC001138,CUS000769,2026-08-24T07:11:27,DEPOSIT,244.09,USD,REJECTED
ATM01000047,ATM0035,ACC000051,CUS000035,2026-08-24T19:38:34,DEPOSIT,2580.98,USD,SUCCESS
ATM01000042,ATM0019,ACC001095,CUS000740,2026-08-24T15:41:00,TRANSFER,729.83,USD,SUCCESS
ATM01000225,ATM0058,ACC000676,CUS000463,2026-08-24T03:24:27,TRANSFER,2563.75,PEN,SUCCESS
ATM01000237,ATM0033,ACC000181,CUS000124,2026-08-24T16:15:41,DEPOSIT,-950.95,PEN,SUCCESS
ATM01000293,ATM0052,ACC001388,CUS000935,2026-08-24T22:52:25,DEPOSIT,1724.64,PEN,SUCCESS
ATM01000301,ATM0021,ACC000358,CUS000241,2026-08-24T01:46:13,WITHDRAWAL,901.18,,SUCCESS
ATM01000334,ATM0031,ACC001125,CUS000761,2026-08-24T18:52:44,WITHDRAWAL,452.45,USD,SUCCESS
ATM01000355,ATM0017,ACC000874,CUS000593,2026-08-24T01:21:21,WITHDRAWAL,1149.82,PEN,SUCCESS
ATM01000376,ATM0026,,CUS000979,2026-08-24T18:32:33,WITHDRAWAL,1567.52,USD,SUCCESS
ATM01000529,ATM0042,ACC000465,CUS000313,2026-08-24T05:41:21,WITHDRAWAL,2329.98,PEN,SUCCESS
ATM01000589,ATM0011,ACC000464,CUS000312,2026-08-24T15:04:12,WITHDRAWAL,-1875.7,PEN,SUCCESS
ATM01000593,ATM0044,ACC001107,CUS000748,2026-08-24T15:58:41,TRANSFER,48.02,USD,SUCCESS
ATM01000596,ATM0032,ACC000788,CUS000535,2026-08-24T01:34:14,WITHDRAWAL,2017.72,PEN,SUCCESS
ATM01000617,ATM0044,ACC000487,CUS000330,2026-08-24T03:15:17,TRANSFER,-1129.04,PEN,SUCCESS
ATM01000036,ATM0057,ACC001386,CUS000933,2026-08-24T17:44:38,WITHDRAWAL,118.6,USD,SUCCESS
ATM01000685,ATM0011,ACC001326,CUS000894,2026-08-24T19:08:36,TRANSFER,-281.01,USD,SUCCESS
ATM01000703,ATM0022,ACC001019,CUS000690,2026-08-24T01:30:58,TRANSFER,,PEN,SUCCESS
ATM01000529,ATM0042,ACC000465,CUS000313,2026-08-24T05:41:21,WITHDRAWAL,2329.98,PEN,SUCCESS
ATM01000811,ATM0015,,CUS000842,2026-08-24T08:54:44,DEPOSIT,2656.84,USD,SUCCESS
ATM01000826,ATM0028,ACC000808,CUS000546,2026-08-24T17:07:22,,1482.59,USD,SUCCESS
ATM01000334,ATM0031,ACC001125,CUS000761,2026-08-24T18:52:44,WITHDRAWAL,452.45,USD,SUCCESS
ATM01000855,ATM0055,ACC000220,CUS000149,2026-08-24T08:14:20,WITHDRAWAL,1998.23,USD,SUCCESS
ATM01000593,ATM0044,ACC001107,CUS000748,2026-08-24T15:58:41,TRANSFER,48.02,USD,SUCCESS
ATM01000293,ATM0052,ACC001388,CUS000935,2026-08-24T22:52:25,DEPOSIT,1724.64,PEN,SUCCESS
ATM01000962,ATM0053,ACC000453,CUS000304,2026-08-24T08:28:18,TRANSFER,-761.67,USD,SUCCESS
ATM01000042,ATM0020,ACC000891,CUS000602,2026-08-24T14:58:38,DEPOSIT,286.31,PEN,SUCCESS
ATM01000355,ATM0005,ACC000102,CUS000066,2026-08-24T16:58:26,DEPOSIT,1934.0,USD,SUCCESS
ATM01001053,ATM0014,ACC000257,CUS000174,2026-08-24T22:17:57,DEPOSIT,1122.91,USD,FAILED
ATM01000855,ATM0055,ACC000220,CUS000149,2026-08-24T08:14:20,WITHDRAWAL,1998.23,USD,SUCCESS
ATM01001073,ATM0050,ACC000349,CUS000235,2026-08-24T22:25:43,,1778.38,USD,FAILED
ATM01001080,ATM0049,ACC000154,CUS000103,2026-08-24T17:12:22,WITHDRAWAL,-2236.98,PEN,SUCCESS
ATM01000225,ATM0019,ACC000702,CUS000482,2026-08-24T10:04:15,WITHDRAWAL,1294.87,USD,SUCCESS
ATM01001085,ATM0009,ACC000462,CUS000311,2026-08-24T17:47:30,DEPOSIT,,USD,SUCCESS
ATM01001092,ATM0009,ACC000052,CUS000035,2026-08-24T05:08:23,TRANSFER,-488.34,PEN,SUCCESS
ATM01000596,ATM0025,ACC000542,CUS000368,2026-08-24T19:44:39,DEPOSIT,1122.48,PEN,SUCCESS
ATM01001115,ATM0021,ACC000193,CUS000132,2026-08-24T13:00:26,WITHDRAWAL,,USD,SUCCESS
ATM01000053,ATM0054,ACC000646,CUS000442,2026-08-24T02:34:26,TRANSFER,2453.17,USD,SUCCESS
ATM01001143,ATM0014,ACC001426,CUS000960,2026-08-24T20:36:11,TRANSFER,-607.56,USD,SUCCESS
ATM01001147,ATM0034,ACC000747,CUS000510,2026-08-24T22:35:43,WITHDRAWAL,,USD,SUCCESS
ATM01001053,ATM0014,ACC000257,CUS000174,2026-08-24T22:17:57,DEPOSIT,1122.91,USD,FAILED
ATM02000036,ATM0003,ACC000657,CUS000450,2026-08-25T17:02:23,DEPOSIT,2698.31,PEN,SUCCESS
ATM02000044,ATM0028,ACC001408,CUS000947,2026-08-25T23:09:34,TRANSFER,424.12,USD,SUCCESS
ATM02000067,ATM0035,ACC000014,CUS000008,2026-08-25T00:15:48,DEPOSIT,1215.76,USD,SUCCESS
ATM02000077,ATM0011,,CUS000296,2026-08-25T07:33:41,DEPOSIT,1863.33,PEN,SUCCESS
ATM02000093,ATM0023,ACC000618,CUS000424,2026-08-25T00:37:56,WITHDRAWAL,106.76,PEN,SUCCESS
ATM02000100,ATM0017,ACC001378,CUS000928,2026-08-25T20:05:30,,273.43,USD,SUCCESS
