account_id,customer_id,account_type,currency,opening_date,status
ACC000001,CUS000001,CREDIT,PEN,2023-07-23,ACTIVE
ACC000002,CUS000001,CHECKING,PEN,2023-07-21,ACTIVE
ACC000003,CUS000002,SAVINGS,PEN,2020-12-19,ACTIVE
ACC000004,CUS000002,CREDIT,PEN,2024-12-31,ACTIVE
ACC000005,CUS000003,SAVINGS,USD,2025-02-23,ACTIVE
ACC000006,CUS000003,CHECKING,PEN,2020-02-15,ACTIVE
ACC000007,CUS000004,CHECKING,PEN,2024-07-12,ACTIVE
ACC000008,CUS000004,CREDIT,USD,2020-07-19,ACTIVE
ACC000009,CUS000005,CHECKING,USD,2021-11-09,CLOSED
ACC000010,CUS000005,CHECKING,PEN,2019-01-18,DORMANT
ACC000011,CUS000006,SAVINGS,USD,2021-10-03,ACTIVE
ACC000012,CUS000007,CREDIT,PEN,2025-09-22,ACTIVE
ACC000013,CUS000007,SAVINGS,USD,2019-01-18,DORMANT
ACC000014,CUS000008,SAVINGS,PEN,2019-02-09,ACTIVE
ACC000015,CUS000009,CREDIT,USD,2023-04-15,ACTIVE
ACC000016,CUS000010,CREDIT,USD,2021-02-02,ACTIVE
ACC000017,CUS000011,CREDIT,PEN,2023-03-15,ACTIVE
ACC000018,CUS000012,CREDIT,USD,2018-12-09,ACTIVE
ACC000019,CUS000012,CREDIT,USD,2019-01-22,ACTIVE
ACC000020,CUS000013,CHECKING,PEN,2019-02-05,ACTIVE
ACC000021,CUS000014,CREDIT,PEN,2019-09-11,ACTIVE
ACC000022,CUS000015,CREDIT,USD,2026-05-17,ACTIVE
ACC000023,CUS000015,CREDIT,PEN,2018-11-01,ACTIVE
ACC000024,CUS000016,SAVINGS,PEN,2019-07-20,ACTIVE
ACC000025,CUS000017,CREDIT,USD,2022-04-26,ACTIVE
ACC000026,CUS000018,CREDIT,USD,2019-02-15,ACTIVE
ACC000027,CUS000018,CREDIT,USD,2020-12-24,ACTIVE
ACC000028,CUS000019,SAVINGS,USD,2025-09-29,ACTIVE
ACC000029,CUS000020,CHECKING,USD,2021-07-16,ACTIVE
ACC000030,CUS000020,SAVINGS,PEN,2024-08-04,ACTIVE
ACC000031,CUS000021,CHECKING,USD,2022-05-02,ACTIVE
ACC000032,CUS000021,CREDIT,PEN,2022-01-23,ACTIVE
ACC000033,CUS000022,CHECKING,PEN,2022-08-22,ACTIVE
ACC000034,CUS000022,CHECKING,USD,2022-12-07,ACTIVE
ACC000035,CUS000023,SAVINGS,PEN,2020-10-19,ACTIVE
ACC000036,CUS000023,CREDIT,PEN,2019-01-23,ACTIVE
ACC000037,CUS000024,CHECKING,PEN,2020-10-16,ACTIVE
ACC000038,CUS000024,SAVINGS,PEN,2021-08-13,ACTIVE
ACC000039,CUS000025,CREDIT,USD,2026-03-03,ACTIVE
ACC000040,CUS000026,CHECKING,USD,2018-12-17,ACTIVE
ACC000041,CUS000027,CHECKING,PEN,2023-05-08,CLOSED
ACC000042,CUS000027,CHECKING,PEN,2025-08-14,ACTIVE
ACC000043,CUS000028,CHECKING,PEN,2020-05-27,ACTIVE
ACC000044,CUS000029,SAVINGS,USD,2019-04-28,DORMANT
ACC000045,CUS000030,CREDIT,PEN,2021-10-05,ACTIVE
ACC000046,CUS000031,SAVINGS,USD,2020-11-02,ACTIVE
ACC000047,CUS000032,SAVINGS,USD,2025-04-30,CLOSED
ACC000048,CUS000032,CREDIT,USD,2025-06-22,ACTIVE
ACC000049,CUS000033,CREDIT,USD,2023-09-26,ACTIVE
ACC000050,CUS000034,CHECKING,PEN,2019-10-14,ACTIVE
ACC000051,CUS000035,SAVINGS,USD,2020-11-01,ACTIVE
ACC000052,CUS000035,CREDIT,USD,2023-01-20,ACTIVE
ACC000053,CUS000036,SAVINGS,USD,2026-02-16,ACTIVE
ACC000054,CUS000036,SAVINGS,USD,2025-04-30,ACTIVE
ACC000055,CUS000037,CHECKING,PEN,2025-01-01,ACTIVE
ACC000056,CUS000037,CREDIT,PEN,2018-12-26,ACTIVE
ACC000057,CUS000038,CREDIT,PEN,2024-10-22,ACTIVE
ACC000058,CUS000039,SAVINGS,PEN,2020-12-27,ACTIVE
ACC000059,CUS000039,CHECKING,PEN,2022-03-20,ACTIVE
ACC000060,CUS000040,CHECKING,USD,2021-03-07,ACTIVE
ACC000061,CUS000040,CREDIT,PEN,2024-06-23,ACTIVE
ACC000062,CUS000041,SAVINGS,USD,2022-10-16,ACTIVE
ACC000063,CUS000041,CHECKING,PEN,2021-11-10,ACTIVE
ACC000064,CUS000042,CHECKING,PEN,2022-09-05,ACTIVE
ACC000065,CUS000042,SAVINGS,USD,2026-05-22,ACTIVE
ACC000066,CUS000043,CREDIT,USD,2023-02-15,ACTIVE
ACC000067,CUS000044,CHECKING,PEN,2019-10-01,CLOSED
ACC000068,CUS000045,CHECKING,USD,2026-01-15,ACTIVE
ACC000069,CUS000046,CREDIT,USD,2023-01-11,ACTIVE
ACC000070,CUS000046,CHECKING,USD,2024-01-24,ACTIVE
ACC000071,CUS000047,SAVINGS,USD,2021-02-23,ACTIVE
ACC000072,CUS000048,CHECKING,PEN,2025-07-18,ACTIVE
ACC000073,CUS000049,SAVINGS,USD,2022-05-14,DORMANT
ACC000074,CUS000049,CREDIT,PEN,2019-11-15,ACTIVE
ACC000075,CUS000050,CHECKING,PEN,2023-04-19,DORMANT
ACC000076,CUS000051,CREDIT,USD,2022-05-01,ACTIVE
ACC000077,CUS000051,CREDIT,USD,2022-05-22,ACTIVE
