atm_id,branch_id,location,status
ATM0001,BR012,Zona 4,ACTIVE
ATM0002,BR020,Zona 15,ACTIVE
ATM0003,BR017,Zona 2,ACTIVE
ATM0004,BR007,Zona 16,ACTIVE
ATM0005,BR014,Zona 5,ACTIVE
ATM0006,BR001,Zona 12,ACTIVE
ATM0007,BR009,Zona 19,ACTIVE
ATM0008,BR010,Zona 19,OUT_OF_SERVICE
ATM0009,BR015,Zona 8,ACTIVE
ATM0010,BR016,Zona 4,ACTIVE
ATM0011,BR017,Zona 18,ACTIVE
ATM0012,BR016,Zona 18,ACTIVE
ATM0013,BR007,Zona 9,ACTIVE
ATM0014,BR015,Zona 17,ACTIVE
ATM0015,BR017,Zona 18,ACTIVE
ATM0016,BR002,Zona 2,ACTIVE
ATM0017,BR006,Zona 5,OUT_OF_SERVICE
ATM0018,BR007,Zona 13,ACTIVE
ATM0019,BR009,Zona 17,ACTIVE
ATM0020,BR015,Zona 19,ACTIVE
ATM0021,BR019,Zona 20,ACTIVE
ATM0022,BR004,Zona 18,ACTIVE
ATM0023,BR011,Zona 4,ACTIVE
ATM0024,BR015,Zona 16,ACTIVE
ATM0025,BR008,Zona 20,ACTIVE
ATM0026,BR016,Zona 3,ACTIVE
ATM0027,BR017,Zona 3,ACTIVE
ATM0028,BR009,Zona 8,OUT_OF_SERVICE
ATM0029,BR016,Zona 14,ACTIVE
ATM0030,BR008,Zona 9,ACTIVE
ATM0031,BR004,Zona 16,ACTIVE
ATM0032,BR008,Zona 4,ACTIVE
ATM0033,BR011,Zona 20,ACTIVE
ATM0034,BR020,Zona 1,ACTIVE
ATM0035,BR015,Zona 7,ACTIVE
ATM0036,BR020,Zona 20,ACTIVE
ATM0037,BR015,Zona 3,ACTIVE
ATM0038,BR001,Zona 17,ACTIVE
ATM0039,BR001,Zona 7,OUT_OF_SERVICE
ATM0040,BR003,Zona 12,ACTIVE
ATM0041,BR006,Zona 1,ACTIVE
ATM0042,BR017,Zona 18,ACTIVE
ATM0043,BR020,Zona 11,ACTIVE
ATM0044,BR015,Zona 2,ACTIVE
ATM0045,BR006,Zona 18,ACTIVE
ATM0046,BR006,Zona 5,ACTIVE
ATM0047,BR014,Zona 8,ACTIVE
ATM0048,BR005,Zona 18,ACTIVE
ATM0049,BR016,Zona 3,ACTIVE
ATM0050,BR010,Zona 20,ACTIVE
ATM0051,BR015,Zona 3,ACTIVE
ATM0052,BR003,Zona 20,ACTIVE
ATM0053,BR004,Zona 12,ACTIVE
ATM0054,BR007,Zona 19,ACTIVE
ATM0055,BR001,Zona 12,ACTIVE
ATM0056,BR009,Zona 19,ACTIVE
ATM0057,BR018,Zona 6,ACTIVE
ATM0058,BR005,Zona 10,OUT_OF_SERVICE
ATM0059,BR016,Zona 6,ACTIVE
ATM0060,BR018,Zona 10,ACTIVE
